OID_;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;IstRad;IstPKW;IstFuss;IstKrad;IstSonstige;ULICHTVERH;IstGkfz;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;UIDENTSTLAE;IstStrassenzustand
21890;5;3;34;20;2021;6;15;2;3;0;1;1;0;0;0;0;0;0;305587,706591514870524;5607951,072575559839606;6,253264150000064;50,591046606000077;5210628608320480000;0
21891;5;3;70;4;2021;10;14;1;3;0;1;1;0;0;0;0;0;0;304711,950497243553400;5664281,864914735779166;6,210878985000022;51,096728397000049;5211010610211030000;0
21897;5;1;66;8;2021;3;10;2;3;5;3;1;1;0;0;0;0;0;316883,041919320821762;5690514,484365755692124;6,371111293000070;51,336384829000053;5210329514214980000;0
21905;5;3;34;2;2021;10;6;2;3;5;3;1;1;0;0;0;1;0;299271,523320117034018;5626329,517343550920486;6,154170298000054;50,753983596000069;5211004608200670000;0
21908;5;3;34;2;2021;10;8;2;3;0;6;1;0;0;0;0;0;0;295331,286165451630950;5627837,111108433455229;6,097545123000032;50,766148026000053;5211004608100970000;0
21919;5;3;34;2;2021;5;19;1;3;5;2;1;1;0;0;0;0;0;290492,715998911298811;5628468,964994689449668;6,028665804000070;50,770095839000078;5210530608100480000;0
21921;5;3;34;2;2021;6;14;4;3;5;2;1;1;0;0;0;0;0;293582,760998975485563;5628737,183995241299272;6,072278316000052;50,773612332000027;5210623608100470000;0
21922;5;1;16;0;2021;10;7;5;2;5;3;1;1;0;0;0;1;0;318186,193294650875032;5666525,638206912204623;6,401969105000035;51,121314789000053;5211028506100140000;0
21928;5;3;34;4;2021;6;16;4;3;5;2;1;1;0;0;0;0;0;300315,509999121539295;5639669,470996210351586;6,161693709000076;50,874160073000041;5210609608404630000;0
21933;5;1;66;32;2021;10;14;3;2;0;1;1;0;0;0;0;0;0;316320,980408775620162;5685819,914536083117127;6,365469322000024;51,294034618000069;5211019514113380000;1
