OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
95684;5;5;66;76;2019;1;2;3;3;0;1;2;1;0;0;0;0;0;395678,170000000860000;5794846,574000001000000;7,470304749000036;52,294055178000065;1
95791;5;5;54;64;2019;1;4;3;3;6;6;2;1;0;1;0;0;0;362229,494662968440000;5751989,329834088700000;6,997452695000050;51,901603029000057;1
95862;5;1;12;0;2019;1;19;3;3;0;1;2;1;0;0;0;0;0;344475,423622343690000;5700588,644588422000000;6,762472358000025;51,435119508000071;1
96011;5;9;13;0;2019;1;14;4;2;5;7;0;1;1;0;0;0;0;395075,459120769050000;5709186,841455092700000;7,487561242000027;51,524038501000064;0
96061;5;5;66;12;2019;1;9;7;2;5;3;0;1;1;0;0;0;0;405390,070272861050000;5773105,037411592900000;7,618737075000070;52,100399960000061;1
96081;5;1;70;24;2019;1;21;7;2;5;2;2;1;1;0;0;0;0;337177,779912099240000;5702771,877012936400000;6,656569329000035;51,452684226000031;1
96089;5;1;62;16;2019;1;3;7;2;1;5;2;1;1;0;0;0;0;331580,413138314150000;5676799,509884631300000;6,588365389000046;51,217712114000051;1
96096;5;1;11;0;2019;1;11;7;3;5;3;0;1;1;0;0;0;0;342755,782308796420000;5687699,670186847400000;6,743456382000034;51,318838460000052;1
96151;5;3;15;0;2019;1;15;6;3;5;2;1;1;1;0;0;0;0;357781,986924285070000;5649011,443103527700000;6,974220885000023;50,975117710000063;1
96157;5;1;66;32;2019;1;18;6;3;5;2;2;1;1;0;0;0;0;313579,687000000850000;5681309,482000000800000;6,328548334000061;51,252629859000081;1
96165;5;1;24;0;2019;1;7;6;3;5;2;1;1;0;0;0;1;0;371201,047307960690000;5680156,551672378600000;7,154129939000029;51,258197546000076;1
96169;5;1;12;0;2019;1;16;6;3;0;3;1;1;1;0;0;0;0;339628,313713907260000;5698039,913405658700000;6,693950326000049;51,410869088000027;1
96178;5;7;58;24;2019;1;7;6;2;5;3;2;1;1;0;0;0;0;484925,395634654910000;5783668,452220981900000;8,779414797000072;52,203257859000075;1
96182;5;9;78;32;2019;1;9;6;3;0;3;1;1;1;0;0;0;0;395096,051674050280000;5724792,694971140500000;7,483191955000052;51,664314583000078;1
96187;5;9;58;12;2019;1;15;6;3;0;7;0;1;0;0;0;0;0;470669,040595155210000;5689494,971156468600000;8,578766883000071;51,355965060000074;1
96194;5;9;15;0;2019;1;8;6;3;0;2;0;1;1;0;0;0;0;416755,177983039990000;5723609,685241896700000;7,796559293000030;51,657306332000076;1
96199;5;9;16;0;2019;1;13;6;3;5;2;0;1;1;0;0;0;0;377371,830204734580000;5710793,329233514100000;7,231933516000026;51,534910186000047;1
96216;5;5;66;28;2019;1;12;5;3;5;2;0;1;1;0;0;0;0;412036,554358567110000;5792376,903217155500000;7,710744073000058;52,274719965000031;1
96217;5;5;66;12;2019;1;15;5;3;1;7;0;1;1;0;0;0;0;400772,741288098510000;5776390,770319178700000;7,550391171000058;52,129122924000058;0
96221;5;5;15;0;2019;1;20;5;3;4;2;2;1;1;0;0;0;0;407031,446276433770000;5757918,803299745500000;7,646820702000071;51,964178413000070;1
96223;5;5;62;24;2019;1;9;5;2;5;3;0;1;1;0;0;0;0;367374,548092281450000;5724844,871555829400000;7,082563010000058;51,658925108000062;1
96239;5;3;15;0;2019;1;15;5;3;6;3;0;1;0;1;0;0;0;359829,871019772250000;5647488,132740162300000;7,003959293000037;50,961929683000051;0
96254;5;1;13;0;2019;1;12;5;3;5;3;0;1;1;0;0;0;0;361126,847089833580000;5706563,856054905800000;6,999522461000026;51,493141041000058;1
96255;5;1;13;0;2019;1;17;5;2;0;3;2;1;1;0;0;0;0;362690,894698914140000;5700289,589558297800000;7,024475245000076;51,437139822000063;1
96258;5;1;12;0;2019;1;11;5;3;0;6;0;1;0;0;0;0;0;346366,849329081360000;5699510,516483383300000;6,790129957000033;51,425948416000040;0
96261;5;1;11;0;2019;1;14;5;3;5;2;0;1;1;0;0;0;0;345124,732976228930000;5680306,442498501400000;6,780630283000050;51,253057941000066;0
96263;5;7;74;32;2019;1;12;5;3;5;3;0;1;1;0;0;0;0;484766,997893448920000;5730863,138800622900000;8,779439822000029;51,728483905000076;1
96293;5;5;54;12;2019;1;14;4;3;4;2;0;1;0;0;0;0;1;351558,272254073990000;5746058,723859723700000;6,845006489000070;51,845577368000079;0
96294;5;5;15;0;2019;1;19;4;3;3;6;2;1;0;0;0;0;0;405160,114401451310000;5756934,443669045300000;7,619863259000056;51,955014490000053;0
96313;5;7;70;24;2019;1;6;4;3;5;2;2;1;1;0;0;0;0;495650,770999999720000;5794156,618000000700000;8,936222848000057;52,297741428000052;1
96315;5;7;54;8;2019;1;18;4;3;4;2;2;1;1;0;0;0;0;457449,710003063080000;5749423,609488694000000;8,381647349000048;51,893948189000071;1
96316;5;7;54;8;2019;1;15;4;3;0;1;0;1;0;0;0;0;0;461769,817964327520000;5749916,579681340600000;8,444370324000033;51,898693441000034;1
96321;5;7;66;40;2019;1;9;4;3;5;3;0;1;1;0;0;0;0;486097,621381581760000;5760295,709009874600000;8,797521431000064;51,993150151000066;0
96333;5;9;15;0;2019;1;9;4;3;0;1;0;1;0;0;0;0;0;419700,144999999550000;5727776,333000002400000;7,838165862000039;51,695191333000082;2
96339;5;9;11;0;2019;1;15;4;3;0;7;0;1;0;0;0;0;0;374395,732806599700000;5707682,555020786800000;7,190155443000037;51,506298717000050;0
96353;5;5;66;76;2019;1;7;3;3;5;3;2;1;1;0;0;0;0;396226,345792436040000;5788363,098664246500000;7,480333556000062;52,235889517000032;1
96355;5;5;66;84;2019;1;7;3;3;5;2;2;1;1;0;0;0;0;386160,115000001150000;5778968,844000004200000;7,336143456000059;52,149475325000026;1
