OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
21968;5220105702100074642;5;5;15;0;2022;1;6;4;3;5;2;2;0;1;1;0;0;0;0;403014,173248262028210;5758686,165114490315318;7,588150375000050;51,970389350000097
21986;5220106516300389264;5;1;58;28;2022;1;7;5;3;0;1;2;2;1;0;0;0;0;0;348557,556166613998357;5684141,529991829767823;6,828159829000070;51,288440577000102
22002;5220103301101367529;5;9;13;0;2022;1;18;2;3;5;3;2;1;1;1;0;0;0;0;392347,138999957998749;5706369,600999619811773;7,449109338000030;51,498202488000103
22060;5220105609248575573;5;3;58;48;2022;1;8;4;3;0;1;1;1;1;0;0;0;0;0;319888,039476190984715;5636664,242126069962978;6,441063271000080;50,853592712000101
22062;5220101300300585552;5;9;11;0;2022;1;18;7;3;5;2;2;0;1;1;0;0;0;0;380378,514999928011093;5709040,224999579600990;7,275858222000070;51,519799089999999
22126;5220103706300249812;5;5;58;44;2022;1;15;2;3;5;3;0;1;1;1;0;0;0;0;396224,611221869010478;5746364,769816629588604;7,493061211000050;51,858418819000100
22133;5220106500200450578;5;1;11;0;2022;1;8;5;3;1;1;0;2;1;1;0;0;0;0;348383,483974657021463;5681705,704183249734342;6,826698844000020;51,266506923000101
22151;5220101601300476529;5;3;15;0;2022;1;5;7;2;5;3;2;0;1;1;1;0;0;0;354792,143999804975465;5646143,463999349623919;6,932806905000060;50,948597952999997
22160;5220106313130677838;5;9;58;44;2022;1;14;5;3;2;6;0;0;1;0;0;0;1;0;434972,732999996980652;5685791,604999629780650;8,066847910000041;51,319704457000100
22183;5220105514113389828;5;1;66;32;2022;1;9;4;3;5;3;0;0;1;1;0;0;0;0;316219,815999409998767;5686037,676997750066221;6,363907862000080;51,295958035000098
22208;5220105501134391309;5;1;12;0;2022;1;20;4;3;5;3;2;1;1;1;0;0;0;0;343425,065999724029098;5710883,150999110192060;6,742809763000030;51,527324169000103
22266;5220106601500978214;5;3;15;0;2022;1;17;5;3;5;2;2;0;1;1;0;0;0;0;360872,793999840971082;5647710,999999430030584;7,018715896000060;50,964185413000102
22277;5220101503400281911;5;1;22;0;2022;1;16;7;2;0;1;1;0;1;0;0;0;0;0;360620,459264700999483;5666324,904740859754384;7,007959397000040;51,131407690000103
22292;5220106606700932419;5;3;78;16;2022;1;10;5;3;4;5;0;1;1;1;0;0;0;0;361116,325470265001059;5663588,266087980009615;7,016095860000060;51,106934210000098
22317;5220103301202560906;5;9;13;0;2022;1;0;2;3;5;2;2;1;1;1;0;0;0;0;393570,958999958995264;5709324,488999620079994;7,465841287000050;51,524994209000099
22373;5220106301102794391;5;9;13;0;2022;1;14;5;3;5;3;0;0;1;1;0;0;0;0;397319,975999964983203;5701192,654999620281160;7,522228476000070;51,452593345000103
22498;5220105701500865815;5;5;62;24;2022;1;15;4;3;5;2;0;1;1;1;0;0;0;0;367710,427981673972681;5723934,416991320438683;7,087760555000050;51,650822486000003
22523;5220105505200563699;5;1;14;0;2022;1;12;4;3;5;2;0;1;1;1;0;0;0;0;330163,166999590990599;5690113,085998630151153;6,561764047000050;51,336900751000002
22531;5220102518200086052;5;1;70;24;2022;1;15;1;2;0;3;0;0;1;1;0;0;0;0;333008,009999624977354;5706271,531998749822378;6,594958390000040;51,482910280000098
22558;5220103513320674609;5;1;62;4;2022;1;15;2;3;5;3;0;1;1;1;0;0;0;0;346495,678999744006433;5659125,939999200403690;6,809296697000040;51,063108059999998
22583;5220106608436089835;5;3;34;36;2022;1;14;5;3;0;1;0;0;1;0;0;0;0;0;300635,051183941017371;5634858,955637250095606;6,168848690000060;50,831063616999998
22590;5220105608200073691;5;3;34;2;2022;1;9;4;3;5;3;0;0;1;1;0;0;0;0;299724,381443788995966;5627381,991531670093536;6,160009730000070;50,763593139000101
22686;5220101602900680759;5;3;62;40;2022;1;12;7;3;0;1;0;1;1;0;0;0;0;0;357285,115999821980949;5632577,739999390207231;6,973571540000020;50,827305010000003
22701;5220106607100990898;5;3;82;28;2022;1;6;5;3;0;7;2;1;1;1;0;0;0;0;373866,045999903988559;5633594,418999530375004;7,208525612000070;50,840293686000102
22751;5220103701910267095;5;5;62;8;2022;1;22;2;3;5;3;2;1;1;1;0;0;0;0;384754,377233882027213;5722435,091182749718428;7,334503530000060;51,641099413000099
22760;5220104502307689624;5;1;13;0;2022;1;13;3;3;5;7;0;1;1;1;0;0;0;0;359433,504999837023206;5703079,194999420084059;6,976532603000070;51,461408908000102
22768;5220106515212022137;5;1;54;32;2022;1;5;5;3;2;1;2;1;1;1;0;0;0;0;309616,485107430024073;5718514,173700469546020;6,251842317000070;51,585477486000102
22785;5220103711222891792;5;5;70;16;2022;1;14;2;3;3;6;0;1;1;0;0;0;0;0;407550,304890168015845;5746485,375889750197530;7,657439391000030;51,861494251000103
22791;5220106317250518405;5;9;78;32;2022;1;9;5;3;0;2;0;2;1;1;0;0;0;0;393270,914309902989771;5723168,250686359591782;7,457308415000060;51,649370019999999
22799;5220104603116586296;5;3;66;16;2022;1;19;3;3;4;2;2;1;1;1;0;0;0;0;345160,306999730004463;5611282,465999180451035;6,810481989000040;50,632823078999998
22817;5220106301301494460;5;9;78;24;2022;1;9;5;3;0;1;0;2;1;0;0;0;0;0;398040,405999968003016;5720821,908999630250037;7,526906459000030;51,629165049999997
22857;5220106515212595972;5;1;54;32;2022;1;13;5;2;5;3;0;0;1;0;0;1;0;0;313489,615999386005569;5719671,691997409798205;6,307068137000040;51,597168949000000
22898;5220103508000473463;5;1;19;0;2022;1;17;2;3;5;3;2;1;1;1;0;0;0;0;351555,864999787008855;5706432,366999300196767;6,861807013000030;51,489527815000002
22904;5220105702100771673;5;5;15;0;2022;1;12;4;3;5;3;0;1;1;1;0;0;0;0;405361,824999978009146;5755733,299999659880996;7,623128425000060;51,944252450000100
22928;5220101601100081816;5;3;15;0;2022;1;7;7;3;8;7;1;0;1;0;0;0;0;0;355270,385999807971530;5645234,532999360002577;6,939971669000040;50,940549875000002
22936;5220105705000996572;5;5;54;12;2022;1;14;4;3;5;7;0;1;1;1;0;0;0;0;355637,003912020998541;5741868,330248789861798;6,905923342000050;51,808995313000104
22970;5220104316500253252;5;9;74;20;2022;1;16;3;2;9;7;2;1;1;1;0;0;0;0;463782,787000000011176;5721150,305999649688601;8,476624943000051;51,640192218000003
23126;5220102711232190683;5;5;70;40;2022;1;17;1;3;5;3;2;1;1;1;0;0;0;0;413001,764999984996393;5747207,072999659925699;7,736402636000040;51,868858212000099
23127;5220103608436391024;5;3;34;36;2022;1;15;2;3;5;3;0;1;1;1;0;0;0;0;299011,967999089974910;5632049,269996070303023;6,147369013000060;50,805266883000101
23160;5220101313130991850;5;9;58;44;2022;1;14;7;3;0;1;0;0;1;0;0;0;0;0;427897,375064556021243;5689799,723871990107000;7,964520656000050;51,354886652000097
23175;5220106600110434112;5;3;14;0;2022;1;9;5;3;5;2;0;1;1;1;0;0;0;0;366337,314999871014152;5622363,735999479889870;7,105741317000020;50,737663374000100
23216;5220101702100868134;5;5;15;0;2022;1;14;7;3;3;6;0;0;1;0;0;0;0;0;406856,606775401975028;5759560,713752109557390;7,643831115000070;51,978907429000103
23244;5220104705000280990;5;5;54;12;2022;1;14;3;3;2;6;0;1;1;1;0;0;0;0;352391,771636279998347;5745069,525805390439928;6,857519721000070;51,836910487000097
23304;5220106502318438988;5;1;13;0;2022;1;8;5;3;0;7;0;2;1;0;0;0;0;0;355105,200999810011126;5704496,738999360240996;6,913688933000060;51,473055295999998
23321;5220103702100850183;5;5;15;0;2022;1;11;2;3;5;2;0;0;1;1;0;0;0;0;406087,201999977987725;5758927,320999659597874;7,632805339000070;51,973084708999998
23344;5220101601600085219;5;3;15;0;2022;1;18;7;3;0;1;2;0;1;0;0;0;0;0;363370,523750072985422;5639757,709263069555163;7,057244360000030;50,893303564000099
23404;5220106606700064470;5;3;78;16;2022;1;19;5;3;5;3;2;1;1;1;0;0;0;0;360424,782999839982949;5662659,192999419756234;7,006583079000050;51,098416756000098
23444;5220104301301109039;5;9;78;24;2022;1;5;3;3;3;2;2;1;1;1;0;0;0;0;396727,515121365024243;5718690,320466830395162;7,508573261000040;51,609765822999996
23535;5220103608200685835;5;3;34;2;2022;1;7;2;3;5;3;2;1;1;1;0;0;0;0;298767,623105138016399;5626713,358310850337148;6,146825920000030;50,757256693999999
23567;5220102601200290700;5;3;15;0;2022;1;15;1;3;0;1;0;0;1;0;0;0;0;0;353733,717530193971470;5635756,989220599643886;6,921910493000040;50,854990018000102
23568;5220104300400024259;5;9;11;0;2022;1;9;3;3;2;7;0;1;1;0;0;0;0;1;370943,895275715971366;5699071,827873759903014;7,143589300000030;51,428135956000098
23617;5220106505200575930;5;1;14;0;2022;1;7;5;3;0;1;2;1;1;0;0;0;0;0;328414,591552529018372;5692229,632905540056527;6,535665460000080;51,355390073000102
23641;5220106406120590824;5;7;58;16;2022;1;16;5;3;5;3;1;1;1;1;0;0;0;0;473962,884000001009554;5780544,835999679751694;8,619244443000071;52,174766224999999
23660;5220103502134817136;5;1;13;0;2022;1;6;2;3;3;3;2;1;1;1;0;0;0;0;366226,124999871011823;5701627,950999489985406;7,074801008000070;51,450013157000100
23668;5220105711111087219;5;5;70;52;2022;1;16;4;3;5;2;1;1;1;1;0;0;0;0;430847,717999995977152;5757739,550999670289457;7,993440497000050;51,966039975000101
23691;5220105602600867864;5;3;62;20;2022;1;12;4;3;5;3;0;0;1;1;0;0;0;0;346028,397999737993814;5630575,118999199941754;6,814695913000040;50,806424731000000
23835;5220106506100372469;5;1;16;0;2022;1;9;5;3;0;1;1;2;1;0;0;0;0;0;320181,214999461022671;5673077,411998090334237;6,427173291000030;51,180800293000097
23852;5220103702100442873;5;5;15;0;2022;1;15;2;3;5;2;0;0;1;1;0;0;0;0;405019,896999977005180;5757700,723999660462141;7,617611551000040;51,961878196000001
23867;5220104608200685752;5;3;34;2;2022;1;10;3;3;0;1;0;1;1;0;0;0;0;0;295120,815973548975307;5629304,765730390325189;6,093747104000040;50,779255165999999
23874;5220101606100874235;5;3;78;4;2022;1;7;7;3;5;7;2;0;1;1;0;0;0;0;365407,290999865974300;5653431,370999479666352;7,081131977000040;51,016674314000099
23975;5220103702100291794;5;5;15;0;2022;1;14;2;3;5;7;0;0;1;0;1;0;0;0;405323,796054568025284;5758209,062572110444307;7,621893122000070;51,966499186000100
24000;5220103600140578249;5;3;14;0;2022;1;20;2;3;3;6;2;1;1;0;0;1;0;0;368960,009637848008424;5620090,044812199659646;7,143696959000070;50,717824709000098
24008;5220101316100081575;5;9;74;32;2022;1;12;7;2;3;6;0;0;1;0;0;0;0;0;436690,149196450016461;5704253,273919490166008;8,088194830000020;51,485882302000100
24041;5220105711421043131;5;5;70;20;2022;1;3;4;2;0;7;2;0;1;0;0;0;0;0;433497,028037887997925;5748289,105902239680290;8,033822879000070;51,881405698000002
24117;5220104601600186461;5;3;15;0;2022;1;14;3;3;0;3;0;1;1;1;0;0;0;0;365129,759855925978627;5645723,303340660408139;7,080038077000040;50,947333285000099
24127;5220101506100269419;5;1;16;0;2022;1;20;7;3;5;3;2;0;1;1;0;0;0;0;321391,835999478003941;5674229,863998159766197;6,443903228000070;51,191532527000000
24144;5220104501128173994;5;1;12;0;2022;1;6;3;3;5;3;2;1;1;1;0;0;0;0;342635,056999718013685;5702971,361999089829624;6,734957723000040;51,456019550000100
24152;5220106502146089513;5;1;13;0;2022;1;9;5;3;0;7;0;2;1;0;0;0;0;0;369420,016972122015432;5699959,544980759732425;7,121354335000040;51,435764775999999
24186;5220104705000409653;5;5;54;44;2022;1;10;3;3;0;3;0;1;1;1;0;0;0;0;365100,636999870010186;5741572,386999489739537;7,043225114000050;51,808699698000098
