OID_;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;PLST
22290;5230104502338491451;5;1;13;0;2023;1;7;4;3;0;6;2;1;1;1;0;0;0;0;364044,901999999769032;5705174,357999999076128;7,042065637000064;51,481363553000051;1
22308;5230104313233578560;5;9;58;28;2023;1;18;4;3;5;3;2;1;1;1;0;0;0;0;479154,355299999937415;5672104,744500000029802;8,701640241000064;51,199967800000081;1
22316;5230103705000187234;5;5;54;16;2023;1;9;3;3;5;3;0;0;1;1;0;0;0;0;362174,917000000365078;5757692,948000000789762;6,994375918000060;51,952839754000081;1
22320;5230103608100694907;5;3;34;2;2023;1;20;3;3;5;3;2;0;1;1;0;0;0;0;293255,548299999907613;5628404,067199999466538;6,067830976000039;50,770504069000026;1
22332;5230103513310046544;5;1;62;8;2023;1;17;3;3;5;3;1;1;1;1;0;0;0;0;335283,067999999970198;5668011,438899999484420;6,645363605000057;51,139834873000041;1
22350;5230103300600495177;5;9;16;0;2023;1;7;3;3;6;6;2;0;1;0;1;0;0;0;379698,237499999813735;5711542,444499999284744;7,265203189000033;51,542143449000037;1
22358;5230102705000081930;5;5;54;60;2023;1;17;2;3;5;3;2;1;1;1;0;0;0;0;351215,792000000365078;5758815,130999999120831;6,834531873000060;51,960098666000079;1
22363;5230102607500786344;5;3;82;68;2023;1;15;2;2;0;1;0;1;1;0;0;0;0;0;370798,704699999652803;5629039,507200000807643;7,166588214000058;50,798676617000069;1
22364;5230102607100995376;5;3;82;60;2023;1;16;2;3;0;2;0;1;1;1;0;0;0;0;371934,993400000035763;5629557,040799999609590;7,182523355000058;50,803580584000031;1
22365;5230102603116894845;5;3;66;16;2023;1;9;2;3;3;2;0;1;1;0;0;0;0;1;343625,121000000275671;5615282,076999999582767;6,787102136000044;50,668355121000047;1
22366;5230102602300790196;5;3;62;36;2023;1;17;2;3;6;6;2;1;1;0;1;0;0;0;345605,149000000208616;5651747,053700000047684;6,799740832000055;50,996564009000053;1
22374;5230102601200975886;5;3;15;0;2023;1;16;2;3;5;3;0;1;1;1;0;0;0;0;354717,758399999700487;5643090,946900000795722;6,932965605000049;50,921147033000068;1
22377;5230102508000491571;5;1;19;0;2023;1;16;2;3;0;1;0;1;1;0;0;0;0;0;349708,300900000147521;5703664,236300000920892;6,836392561000025;51,464167189000079;1
22379;5230102505100696240;5;1;14;0;2023;1;9;2;3;5;2;0;1;1;0;0;1;0;0;333813,882600000128150;5688952,404999999329448;6,614667118000057;51,327551755000059;1
22384;5230102500200286700;5;1;11;0;2023;1;17;2;1;2;7;2;1;1;1;0;0;0;0;345824,338999999687076;5689029,609999999403954;6,786880940000060;51,331628191000050;1
22405;5230101702100545124;5;5;15;0;2023;1;5;1;3;7;7;2;0;1;0;0;0;0;0;409768,259899999946356;5751796,344200000166893;7,688250352000068;51,909596455000042;1
22408;5230101606100686438;5;3;78;4;2023;1;3;1;2;0;1;2;1;1;0;0;0;0;0;368685,912200000137091;5652446,997899999842048;7,128204050000022;51,008585145000040;1
22410;5230101602700390701;5;3;62;28;2023;1;4;1;2;4;6;2;0;1;0;0;0;0;0;351549,619599999859929;5638708,241000000387430;6,889704443000028;50,880955272000051;1
22413;5230101601100390443;5;3;15;0;2023;1;13;1;3;4;6;0;0;1;0;0;0;0;1;355263,824900000356138;5644680,754399999976158;6,940098326000054;50,935571543000037;1
22414;5230101518200095911;5;1;70;24;2023;1;14;1;3;5;3;0;0;1;1;0;0;0;0;333270,502000000327826;5706022,384999999776483;6,598852877000070;51,480749415000048;1
22416;5230101516600781435;5;1;58;4;2023;1;0;1;3;0;7;2;1;1;0;0;0;0;0;356471,349299999885261;5674037,838800000026822;6,945621610000046;51,199694951000026;1
22420;5230101513330180788;5;1;62;12;2023;1;2;1;2;9;7;2;0;1;0;0;0;0;0;322657,235700000077486;5664460,120400000363588;6,466805721000071;51,104160487000058;1
22432;5230101400100076296;5;7;11;0;2023;1;16;1;3;0;7;2;1;1;0;0;0;0;0;467637,311999999918044;5764521,537499999627471;8,528267413000037;52,030374051000081;1
22547;5230104500200068068;5;1;11;0;2023;1;16;4;3;5;3;0;1;1;1;0;0;0;0;346509,479000000283122;5680015,314999999478459;6,800582863000045;51,250816423000060;1
23228;5230102307000589950;5;9;62;12;2023;1;17;2;3;2;6;2;1;1;1;0;0;0;0;397088,568099999800324;5674623,016699999570847;7,526576187000046;51,213717019000057;1
23342;5230103515111095868;5;1;54;8;2023;1;7;3;3;5;2;2;1;1;1;0;0;0;0;312666,398000000044703;5746739,081000000238419;6,280642848000070;51,839996436000035;1
23819;5230101705000796584;5;5;54;8;2023;1;5;1;3;0;1;2;1;1;0;0;0;0;0;332279,970099999569356;5742869,730799999088049;6,566936780000049;51,811472812000034;1
23873;5230102405108006498;5;7;54;8;2023;1;10;2;3;5;2;0;1;1;1;0;0;0;0;458332,369500000029802;5751392,471200000494719;8,394235566000020;51,911716141000056;1
24192;5230101702100379140;5;5;15;0;2023;1;2;1;2;4;6;2;0;1;0;0;0;0;0;410500,518600000068545;5758943,665799999609590;7,697032310000054;51,973959898000032;1
24649;5230103709500211904;5;5;66;76;2023;1;7;3;3;0;7;1;2;1;0;0;0;0;0;395991,401800000108778;5796181,977700000628829;7,474483521000025;52,306116251000049;1
24985;5230103702100579098;5;5;15;0;2023;1;15;3;3;5;2;0;0;1;1;0;0;0;0;406652,896300000138581;5757124,801400000229478;7,641528271000027;51,956978100000072;1
25033;5230103518302585926;5;1;70;40;2023;1;12;3;3;8;1;0;1;1;0;0;0;0;0;320967,294700000435114;5723783,008400000631809;6,412813486000061;51,636524427000040;1
25377;5230102701300391837;5;5;62;14;2023;1;9;2;3;0;3;0;1;1;1;0;0;0;0;362043,093000000342727;5712731,378000000491738;7,010297808000075;51,548788400000035;1
25395;5230102705000690508;5;5;54;68;2023;1;5;2;3;4;6;2;1;1;0;0;0;0;0;350726,498999999836087;5766167,725199999287724;6,824214993000055;52,026026846000036;1
25540;5230103706100796582;5;5;58;32;2023;1;7;3;3;5;3;2;0;1;1;0;0;0;0;389440,390999999828637;5752564,098999999463558;7,392600327000025;51,912833071000080;1
25583;5230117405236090716;5;7;54;36;2023;1;7;3;3;5;3;2;1;1;1;0;0;0;0;473867,745799999684095;5750158,304800000041723;8,620175676000031;51,901565509000079;1
25596;5230117303100623108;5;9;15;0;2023;1;5;3;3;5;3;2;1;1;1;0;0;0;0;418814,112300000153482;5727900,163200000301003;7,825320190000070;51,696177049000028;1
25600;5230117301306094327;5;9;13;0;2023;1;15;3;3;5;3;0;0;1;1;0;0;0;0;402674,513399999588728;5712947,215299999341369;7,596021404000055;51,559201147000067;1
25602;5230117301301085575;5;9;78;24;2023;1;11;3;2;5;3;0;0;1;1;0;0;0;0;397979,573200000450015;5719535,094499999657273;7,526402673000064;51,617587413000081;1
25611;5230116706000992072;5;5;58;12;2023;1;13;2;3;0;2;0;1;1;1;0;0;0;0;374065,495000000111759;5755971,273000000044703;7,167937606000066;51,940187589000061;1
25614;5230116705000721130;5;5;54;16;2023;1;9;2;3;5;5;0;1;1;1;0;0;0;0;362646,685999999754131;5757235,684000000357628;7,001419290000058;51,948847686000079;1
25615;5230116705000610851;5;5;54;20;2023;1;9;2;3;3;2;0;1;1;1;0;0;0;0;363168,976999999955297;5786746,106000000610948;6,997175840000068;52,214138410000032;1
