OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
73532;5200102705000021161;5;5;54;20;2020;1;21;5;3;0;5;2;1;1;0;0;0;1;366409,084599999710000;5785792,797000000300000;7,044947864000051;52,206367634000060;1
73533;5200102705000017214;5;5;54;48;2020;1;8;5;3;0;1;0;1;0;0;0;0;0;342018,608799999580000;5744952,929400000700000;6,707136084000069;51,833025349000081;1
73549;5200102601610286206;5;3;15;0;2020;1;16;5;3;1;5;1;1;1;0;0;0;0;360030,723899999630000;5644904,878499999600000;7,007810686000028;50,938762462000057;0
73550;5200102601210667208;5;3;15;0;2020;1;7;5;3;0;1;1;1;0;0;0;0;0;354594,756500000130000;5643319,524199999900000;6,931125652000048;50,923170217000063;2
73576;5200102303100115074;5;9;15;0;2020;1;2;5;3;8;1;2;1;0;0;0;0;0;417455,849799999970000;5721349,868899999200000;7,807219578000058;51,637094942000033;2
73613;5200101502226137202;5;1;13;0;2020;1;16;4;3;5;3;1;1;1;0;0;0;0;361373,106300000100000;5696552,998900000000000;7,006989445000045;51,403240387000039;0
73616;5200101407110079418;5;7;62;20;2020;1;14;4;3;0;7;0;1;0;0;0;0;0;522713,508000000380000;5737127,458000000600000;9,329278960000067;51,784554374000038;2
73618;5200101405228104207;5;7;54;28;2020;1;6;4;2;4;7;2;1;0;1;0;0;0;452699,387000000100000;5741192,282400000800000;8,313746187000049;51,819561237000073;0
73782;5200107506100979003;5;1;16;0;2020;1;15;3;3;0;5;0;1;1;0;0;0;0;323346,509700000290000;5676658,278999999200000;6,470652331000053;51,213955503000079;0
73786;5200104405148981065;5;7;54;48;2020;1;18;7;3;0;7;2;1;0;1;0;0;0;437827,923999999650000;5762474,154999999300000;8,094169381000029;52,009427923000032;1
73789;5200106316000070280;5;9;74;28;2020;1;7;2;3;5;2;1;1;1;0;0;0;0;454750,784699999730000;5725681,515699999400000;8,345525053000074;51,680277640000043;0
73790;5200107702100372414;5;5;15;0;2020;1;8;3;3;5;2;0;1;1;0;0;0;0;412166,518000000160000;5759474,415999999300000;7,721144127000059;51,978996493000068;1
73791;5200107502402959201;5;1;17;0;2020;1;19;3;3;5;2;2;1;1;0;0;0;0;353036,426400000230000;5701318,808599999200000;6,885243369000023;51,443965938000076;0
73793;5200106706300087295;5;5;58;24;2020;1;17;2;3;0;3;2;1;1;0;0;0;0;393638,474899999800000;5736243,160100000000000;7,458629376000033;51,766959039000028;0
73794;5200107505100524209;5;1;14;0;2020;1;15;3;3;0;5;0;1;1;0;0;0;0;330246,069899999540000;5688527,826999999600000;6,563708352000049;51,322683776000076;0
73805;5200104303100067578;5;9;15;0;2020;1;5;7;3;0;2;1;1;0;0;0;0;0;415485,826000000350000;5722378,007799999800000;7,778510862000076;51,646044791000065;1
73806;5200104600320673204;5;3;82;72;2020;1;16;7;3;5;3;0;1;1;0;0;0;0;371475,717199999840000;5612283,795399999200000;7,182028953000042;50,648220416000072;0
73819;5200104518310676414;5;1;70;32;2020;1;12;7;3;5;3;0;1;1;0;0;0;0;332816,877899999730000;5712572,798000000400000;6,589220540000042;51,539462845000060;0
73825;5200107300700252382;5;9;16;0;2020;1;18;3;3;5;2;2;1;1;0;0;0;0;371667,787700000220000;5709690,220499999800000;7,150139054000022;51,523728736000066;0
73827;5200105701200002200;5;5;62;20;2020;1;16;1;3;5;3;2;1;1;0;0;0;0;373219,900999999610000;5715205,346000000800000;7,170512324000072;51,573644112000068;0
73828;5200107601310739207;5;3;15;0;2020;1;10;3;3;0;5;0;1;1;0;0;0;0;352796,484699999910000;5644908,376100000000000;6,904915799000037;50,936992585000041;1
73851;5200106516620889206;5;1;58;4;2020;1;16;2;3;5;3;1;1;1;0;0;0;0;356217,209999999960000;5675730,824999999300000;6,941308081000045;51,214844853000045;0
73862;5200103711161579136;5;5;70;24;2020;1;10;6;3;4;2;0;1;1;0;0;0;0;420540,105999999680000;5753300,457000000400000;7,844462934000035;51,924758187000066;1
73866;5200107603116251203;5;3;66;16;2020;1;17;3;3;9;6;2;1;0;0;0;0;0;342953,340800000350000;5611498,081000000200000;6,779207751000058;50,634170275000031;0
73880;5200107518400692208;5;1;70;8;2020;1;17;3;3;0;7;0;1;0;0;0;0;0;341667,359699999910000;5715882,271800000200000;6,715242263000050;51,571748720000073;0
73897;5200103701610770200;5;5;62;12;2020;1;16;6;3;5;2;1;1;1;0;0;0;0;359901,355999999680000;5726783,623999999800000;6,973812572000043;51,674533415000042;1
73900;5200106316100284904;5;9;74;40;2020;1;14;2;3;0;3;0;1;1;0;0;0;0;438372,395100000310000;5711922,590900000200000;8,111078353000039;51,555020018000050;0
73902;5200107502407764203;5;1;17;0;2020;1;10;3;2;5;7;0;1;1;0;0;0;0;351936,373999999840000;5697054,618699999500000;6,871207518000063;51,405363017000070;1
73903;5200104601520476202;5;3;15;0;2020;1;14;7;2;0;7;0;1;0;0;0;0;0;357110,843600000250000;5644718,188400000300000;6,966352809000057;50,936368554000069;0
73905;5200106711141072431;5;5;70;44;2020;1;14;2;3;5;2;0;1;1;0;0;0;0;416571,347799999640000;5759451,895500000600000;7,785267951000037;51,979472925000039;0
73907;5200106515210327203;5;1;54;12;2020;1;13;2;3;0;5;0;1;0;0;0;0;1;314645,156499999580000;5710944,401599999500000;6,328332867000029;51,519163215000049;0
73915;5200104601310562207;5;3;15;0;2020;1;15;7;3;0;1;0;1;0;0;0;0;0;354263,946000000460000;5645891,185000000500000;6,925393649000057;50,946197505000043;0
73917;5200106702100268200;5;5;15;0;2020;1;9;2;3;5;3;0;1;1;0;0;0;0;407125,860700000080000;5751316,521199999400000;7,649976999000046;51,904849201000047;0
73930;5200104709300174736;5;5;66;84;2020;1;11;7;3;5;3;0;1;1;0;0;0;0;390025,927000000140000;5775773,914999999100000;7,393654143000049;52,121545169000058;0
73936;5200104601210616200;5;3;15;0;2020;1;18;7;3;0;1;2;1;0;0;0;0;0;353571,060399999840000;5644188,623600000500000;6,916221370000073;50,930721621000032;1
73942;5200106602900634207;5;3;62;40;2020;1;6;2;3;4;6;2;1;0;0;1;0;0;358101,540699999780000;5631821,403100000700000;6,985449040000049;50,820708343000035;0
73971;5200107317240818881;5;9;78;40;2020;1;7;3;3;5;2;2;1;1;0;0;0;0;405011,430999999870000;5725186,252000000300000;7,626404896000054;51,669615909000072;1
73978;5200106513110809200;5;1;62;16;2020;1;15;2;3;3;6;0;1;0;0;0;0;1;332982,265800000170000;5677310,996799999800000;6,608181710000054;51,222719245000064;0
73988;5200106500300620203;5;1;11;0;2020;1;17;2;3;0;6;2;1;0;0;1;0;0;345473,199400000270000;5675990,199500000100000;6,787481558000025;51,214369207000061;0
73990;5200105601120792204;5;3;15;0;2020;1;10;1;3;1;1;0;1;1;0;0;0;0;355036,639399999750000;5643523,248299999200000;6,937327558000050;50,925112236000075;1
73992;5200104501324818204;5;1;12;0;2020;1;12;7;3;5;3;0;1;1;0;0;0;0;343687,446000000460000;5696210,914999999100000;6,753075205000073;51,395569061000060;0
73996;5200107601310405205;5;3;15;0;2020;1;20;3;3;7;1;2;1;0;0;0;0;0;354844,582799999970000;5646239,697599999600000;6,933514547000073;50,949475985000049;0
73997;5200107303100051443;5;9;15;0;2020;1;18;3;3;0;5;2;1;1;0;0;0;0;418262,852900000290000;5725094,106599999600000;7,818002944000057;51,670871912000052;0
